ID,Species,Organization,Type,Source,No_Media
cm:herps:7581,Siren intermedia,CM Herps Collection,Biological Specimen,iDigBio,3
uf:herp:172966,Bolitoglossa franklini,FLMNH Division of Herpetology,Biological Specimen,iDigBio,4
UCM:Amphibian and reptile specimens:UCM:Herp:34847,Bolitoglossa mulleri,UCM Herpetology Collection,Biological Specimen,iDigBio,1
mcz:herp:a-137819,Thorius longicaudus,MCZ Herpetology,Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:219118,Nototriton picadoi,NMNH Extant Specimen Records,Biological Specimen,iDigBio,0
mvz:amphibian and reptile specimens:mvz:herp:202330,Ensatina eschscholtzii,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,3
FS-26619,Ambystoma tigrinum,New York Institute of Technology Visualization Center,Biological Specimen,User Created,1
usnm:amphibians & reptiles:224646,Lineatriton lineolus,NMNH Extant Specimen Records,Biological Specimen,iDigBio,0
uf:herp:24315,Hynobius nebulosus,FLMNH Division of Herpetology,Biological Specimen,iDigBio,4
mvz:amphibian and reptile specimens:47277,Proteus anguinus,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,User Created,1
nhmuk:zoo:1947.1.4.20,Salamandra salamandra,Natural History Museum (London) Collection Specimens,Biological Specimen,iDigBio,0
usnm:amphibians & reptiles:155646,Desmognathus marmoratus,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
uf:herp:63892,Tylototriton verrucosus,FLMNH Division of Herpetology,Biological Specimen,iDigBio,0
mvz:amphibian and reptile specimens:mvz:herp:145635,Aneides ferreus,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,1
ummz:herps:68897,Cryptobranchus alleganiensis,"Museum of Zoology, Division of Reptiles & Amphibians",Biological Specimen,iDigBio,3
ku:kuh:33301,Plethodon jordani,KUBI Herpetology Collection,Biological Specimen,iDigBio,1
UCM:Amphibian and reptile specimens:UCM:Herp:52439,Bolitoglossa occidentalis,UCM Herpetology Collection,Biological Specimen,iDigBio,1
mcz:herp:a-22496,Taricha rivularis,MCZ Herpetology,Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:266230,Pseudoeurycea leprosa,NMNH Extant Specimen Records,Biological Specimen,iDigBio,0
mvz:amphibian and reptile specimens:mvz:herp:234909,Batrachuperus pinchonii,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,3
pmj:de-mus:Amph 387,Siren lacertina,Phyletisches Museum Jena,Biological Specimen,User Created,1
oumnh:13588,Triturus cristatus,Oxford University Museum of Natural History,Biological Specimen,User Created,0
mvz:amphibian and reptile specimens:mvz:herp:236763,Neurergus crocatus,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,2
uf:herp:178144,Desmognathus conanti,FLMNH Division of Herpetology,Biological Specimen,iDigBio,0
UF:Herp:22816,Notophthalmus viridescens,FLMNH Division of Herpetology,Biological Specimen,iDigBio,2
usnm:amphibians & reptiles:57327,Eurycea spelaea,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:256853,Desmognathus wrighti,NMNH Extant Specimen Records,Biological Specimen,iDigBio,0
uf:herp:167203,Pseudobranchus axanthus,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
mvz:amphibian and reptile specimens:mvz:herp:35505,Aneides flavipunctatus,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:545724,Hydromantes platycephalus,NMNH Extant Specimen Records,Biological Specimen,iDigBio,0
mvz:amphibian and reptile specimens:mvz:herp:110620,Thorius omiltemi,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,2
mvz:amphibian and reptile specimens:194136,Ensatina eschscholtzii,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,User Created,1
nhmuk:zoo:1957.1.7.21,Amphiuma tridactylum,Natural History Museum (London) Collection Specimens,Biological Specimen,iDigBio,0
fmnh:amphibians and reptiles:31536,Andrias japonicus,Field Museum of Natural History (Zoology) Amphibian and Reptile Collection,Biological Specimen,iDigBio,3
uf:herp:13359,Ichthyosaura alpestris,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
mvz:amphibian and reptile specimens:mvz:herp:203564,Aneides flavipunctatus,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:332539,Stereochilus marginatus,NMNH Extant Specimen Records,Biological Specimen,iDigBio,0
ypm:vz:ypm hera 013629,Eurycea wallacei,"Vertebrate Zoology Division - Herpetology, Yale Peabody Museum",Biological Specimen,iDigBio,2
UCM:Amphibian and reptile specimens:UCM:Herp:39753,Thorius narisovalis,UCM Herpetology Collection,Biological Specimen,iDigBio,1
l-db:6337,Urspelerpes brucei,Laboratory of David Beamer for Molecular Phylogenetics and Evolution,Biological Specimen,User Created,3
usnm:amphibians & reptiles:244698,Chiropterotriton priscus,NMNH Extant Specimen Records,Biological Specimen,iDigBio,0
mvz:amphibian and reptile specimens:mvz:herp:222337,Salamandrella keyserlingii,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,3
mvz:amphibian and reptile specimens:129400,Onychodactylus japonicus,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,User Created,1
oumnh:6990,Hynobius naevius,Oxford University Museum of Natural History,Biological Specimen,User Created,0
ummz:herps:181465,Ambystoma mexicanum,"Museum of Zoology, Division of Reptiles & Amphibians",Biological Specimen,iDigBio,2
UCM:Amphibian and reptile specimens:UCM:Herp:57165,Pseudoeurycea melanomolga,UCM Herpetology Collection,Biological Specimen,iDigBio,1
fmnh:amphibians and reptiles:84946,Triturus vittatus,Field Museum of Natural History (Zoology) Amphibian and Reptile Collection,Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:545723,Hydromantes brunus,NMNH Extant Specimen Records,Biological Specimen,iDigBio,0
mvz:amphibian and reptile specimens:mvz:herp:265367,Bradytriton silus,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,4
usnm:amphibians & reptiles:160303,Amphiuma pholeter,NMNH Extant Specimen Records,Biological Specimen,User Created,1
umzc:vertebrates:r.506,Ambystoma tigrinum,UMZC Zoological Specimens,Biological Specimen,iDigBio,0
cm:herps:19079,Siren intermedia,CM Herps Collection,Biological Specimen,iDigBio,2
uf:herp:64645,Gyrinophilus porphyriticus,FLMNH Division of Herpetology,Biological Specimen,iDigBio,5
UCM:Amphibian and reptile specimens:UCM:Herp:38209,Parvimolge townsendi,UCM Herpetology Collection,Biological Specimen,iDigBio,2
mvz:amphibian and reptile specimens:mvz:herp:162257,Thorius narisovalis,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:219119,Nototriton picadoi,NMNH Extant Specimen Records,Biological Specimen,iDigBio,0
mvz:amphibian and reptile specimens:mvz:herp:205030,Hydromantes genei,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,2
amnh:herpetology:FS-26619,Ambystoma tigrinum,AMNH Herpetology Collections,Biological Specimen,User Created,1
uf:herp:77789,Cryptobranchus alleganiensis,FLMNH Division of Herpetology,Biological Specimen,iDigBio,2
ummz:herps:127463,Ranodon sibiricus,"Museum of Zoology, Division of Reptiles & Amphibians",Biological Specimen,iDigBio,2
mvz:amphibian and reptile specimens:192702,Rhyacotriton kezeri,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,User Created,1
nhmuk:zoo:1911.4.3.1,Salamandra salamandra,Natural History Museum (London) Collection Specimens,Biological Specimen,iDigBio,0
usnm:amphibians & reptiles:545579,Eurycea nana,NMNH Extant Specimen Records,Biological Specimen,iDigBio,0
uf:herp:39283,Thorius narisovalis,FLMNH Division of Herpetology,Biological Specimen,iDigBio,0
mvz:amphibian and reptile specimens:mvz:herp:226776,Aneides flavipunctatus,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:573703,Bolitoglossa mexicana,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
mvz:amphibian and reptile specimens:mvz:herp:163907,Chiropterotriton multidentatus,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,4
UCM:Amphibian and reptile specimens:UCM:Herp:52480,Bolitoglossa riletti,UCM Herpetology Collection,Biological Specimen,iDigBio,1
mcz:herp:a-151391,Cynops orientalis,MCZ Herpetology,Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:266231,Pseudoeurycea leprosa,NMNH Extant Specimen Records,Biological Specimen,iDigBio,0
mvz:amphibian and reptile specimens:mvz:herp:236798,Hydromantes platycephalus,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,3
mvz:amphibian and reptile specimens:63775,Ambystoma gracile,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,User Created,1
oumnh:10039,Plethodon glutinosus,Oxford University Museum of Natural History,Biological Specimen,User Created,0
ncsm:herp:80273,Plethodon cheoah,NCSM Herpetology Collection,Biological Specimen,iDigBio,4
uf:herp:178145,Desmognathus conanti,FLMNH Division of Herpetology,Biological Specimen,iDigBio,0
UF:Herp:188640,Siren reticulata,FLMNH Division of Herpetology,Biological Specimen,iDigBio,2
usnm:amphibians & reptiles:317750,Gyrinophilus palleucus,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:316268,Chiropterotriton chiropterus,NMNH Extant Specimen Records,Biological Specimen,iDigBio,0
uf:herp:179649,Pseudobranchus striatus,FLMNH Division of Herpetology,Biological Specimen,iDigBio,4
mvz:amphibian and reptile specimens:mvz:herp:219970,Aneides flavipunctatus,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:545725,Hydromantes platycephalus,NMNH Extant Specimen Records,Biological Specimen,iDigBio,0
mvz:amphibian and reptile specimens:mvz:herp:263580,Dendrotriton bromeliacius,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,3
mvz:amphibian and reptile specimens:91233,Eurycea longicauda,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,User Created,1
nhmuk:zoo:1980.1154,Rhyacotriton olympicus,Natural History Museum (London) Collection Specimens,Biological Specimen,iDigBio,0
uf:herp:168293,Amphiuma pholeter,FLMNH Division of Herpetology,Biological Specimen,iDigBio,4
uf:herp:158300,Ambystoma mavortium,FLMNH Division of Herpetology,Biological Specimen,iDigBio,2
mvz:amphibian and reptile specimens:mvz:herp:123825,Aneides flavipunctatus,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:339708,Nototriton barbouri,NMNH Extant Specimen Records,Biological Specimen,iDigBio,0
ypm:vz:ypm hera 009750,Hemidactylium scutatum,"Vertebrate Zoology Division - Herpetology, Yale Peabody Museum",Biological Specimen,iDigBio,2
UCM:Amphibian and reptile specimens:UCM:Herp:41238,Chiropterotriton dimidiatus,UCM Herpetology Collection,Biological Specimen,iDigBio,1
uf:herp:149094,Dicamptodon ensatus,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
usnm:amphibians & reptiles:249002,Chiropterotriton multidentatus,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
mvz:amphibian and reptile specimens:mvz:herp:230165,Lyciasalamandra luschani,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,3
mvz:amphibian and reptile specimens:163964,Chiropterotriton magnipes,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,User Created,1
oumnh:5051,Necturus maculatus,Oxford University Museum of Natural History,Biological Specimen,User Created,0
ummz:herps:130609,Phaeognathus hubrichti,"Museum of Zoology, Division of Reptiles & Amphibians",Biological Specimen,iDigBio,3
NHMUK:PAL:PV R 11364,Marmorerpeton freemani,"NHMUK Division of Fossil Reptiles, Amphibians and Birds",Biological Specimen,iDigBio,2
fmnh:amphibians and reptiles:84926,Triturus cristatus,Field Museum of Natural History (Zoology) Amphibian and Reptile Collection,Biological Specimen,iDigBio,0
usnm:amphibians & reptiles:116372,Bolitoglossa flaviventris,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
mvz:amphibian and reptile specimens:mvz:herp:172513,Ensatina eschscholtzii,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,2
mvz:amphibian and reptile specimens:178602,Aneides lugubris,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,User Created,1
umzc:vertebrates:r.763,Siren lacertina,UMZC Zoological Specimens,Biological Specimen,iDigBio,4
tcwc:herpetology:5038,Siren texana,Biodiversity Research and Teaching Collections - TCWC Vertebrates,Biological Specimen,iDigBio,1
uf:herp:84517,Notophthalmus viridescens,FLMNH Division of Herpetology,Biological Specimen,iDigBio,4
UCM:Amphibian and reptile specimens:UCM:Herp:38227,Thorius pulmonaris,UCM Herpetology Collection,Biological Specimen,iDigBio,1
mcz:herp:a-136429,Thorius pinicola,MCZ Herpetology,Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:244696,Chiropterotriton priscus,NMNH Extant Specimen Records,Biological Specimen,iDigBio,0
mvz:amphibian and reptile specimens:mvz:herp:218721,Mertensiella caucasica,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,4
amnh:herpetology:FS-26617,Necturus maculatus,AMNH Herpetology Collections,Biological Specimen,User Created,2
oumnh:21367,Ambystoma mexicanum,Oxford University Museum of Natural History,Biological Specimen,User Created,0
ummz:herps:135501,Rhyacotriton olympicus,"Museum of Zoology, Division of Reptiles & Amphibians",Biological Specimen,iDigBio,2
mvz:amphibian and reptile specimens:237415,Salamandra salamandra,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,User Created,1
mcz:herp:a-8156,Cynops wolterstorffi,MCZ Herpetology,Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:166377,Haideotriton wallacei,NMNH Extant Specimen Records,Biological Specimen,iDigBio,0
mcz:herp:a-22346,Pachytriton brevipes,MCZ Herpetology,Biological Specimen,iDigBio,1
mvz:amphibian and reptile specimens:mvz:herp:242271,Aneides vagrans,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:573706,Bolitoglossa mexicana,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
mvz:amphibian and reptile specimens:mvz:herp:251552,Batrachoseps attenuatus,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,2
uamz:a:2193,Andrias japonicus,University of Alberta Museum of Zoology,Biological Specimen,User Created,1
nhmuk:zoo:1891.10.28.30-31,Chioglossa lusitanica,Natural History Museum (London) Collection Specimens,Biological Specimen,iDigBio,0
tcwc:herpetology:5039,Siren texana,Biodiversity Research and Teaching Collections - TCWC Vertebrates,Biological Specimen,iDigBio,2
uf:herp:39025,Lissotriton vulgaris,FLMNH Division of Herpetology,Biological Specimen,iDigBio,4
uf:herp:149219,Gyrinophilus porphyriticus,FLMNH Division of Herpetology,Biological Specimen,iDigBio,2
usnm:amphibians & reptiles:116370,Bolitoglossa flaviventris,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
uf:herp:16267,Plethodon grobmani,FLMNH Division of Herpetology,Biological Specimen,iDigBio,2
UCM:Amphibian and reptile specimens:UCM:Herp:52563,Bolitoglossa macrinii,UCM Herpetology Collection,Biological Specimen,iDigBio,1
mcz:herp:a-2796,Salamandra salamandra,MCZ Herpetology,Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:291868,Phaeognathus hubrichti,NMNH Extant Specimen Records,Biological Specimen,iDigBio,0
mvz:amphibian and reptile specimens:mvz:herp:237161,Ensatina eschscholtzii,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,1
smns:z-herp:SMNS 15426,Siren intermedia,Staatliches Museum für Naturkunde Stuttgart,Biological Specimen,User Created,5
oumnh:2689,Salamandra maculosa,Oxford University Museum of Natural History,Biological Specimen,User Created,0
ncsm:herp:17335,Eurycea chamberlaini,NCSM Herpetology Collection,Biological Specimen,iDigBio,2
uf:field#:CPI 11097,Desmognathus auriculatus,FLMNH Division of Herpetology,Biological Specimen,User Created,0
UF:Herp:185547,Siren reticulata,FLMNH Division of Herpetology,Biological Specimen,iDigBio,2
l-rbjb:elgol:2016.19-Savage,Marmorerpeton kermacki,Natural Sciences Department,Biological Specimen,User Created,0
usnm:amphibians & reptiles:316224,Chiropterotriton chiropterus,NMNH Extant Specimen Records,Biological Specimen,iDigBio,2
uf:herp:3183,Plethodon glutinosus,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
mvz:amphibian and reptile specimens:mvz:herp:123824,Aneides flavipunctatus,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:294510,Plethodon dunni,NMNH Extant Specimen Records,Biological Specimen,iDigBio,0
mvz:amphibian and reptile specimens:mvz:herp:71635,Chioglossa lusitanica,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,3
mvz:amphibian and reptile specimens:120204,Eurycea neotenes,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,User Created,1
nhmuk:zoo:1928.12.20.414-415,Chioglossa lusitanica,Natural History Museum (London) Collection Specimens,Biological Specimen,iDigBio,0
uf:herp:89446,Amphiuma tridactylum,FLMNH Division of Herpetology,Biological Specimen,iDigBio,4
