ID,Species,Organization,Type,Source,No_Media
UCM:Amphibian and reptile specimens:UCM:Herp:52373,Pseudoeurycea leprosa,UCM Herpetology Collection,Biological Specimen,iDigBio,1
mtkd:2815,Salamandrina perspicillata,"Senkenberg Natural History Collections Dresden, Museum of Zoology",Biological Specimen,User Created,0
usnm:amphibians & reptiles:279384,Aneides lugubris,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
mvz:amphibian and reptile specimens:mvz:herp:232663,Ensatina eschscholtzii,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,2
pmj:de-mus:500,Pseudobranchus axanthus,Phyletisches Museum Jena,Biological Specimen,User Created,2
oumnh:10037,Desmognathus fuscus,Oxford University Museum of Natural History,Biological Specimen,User Created,0
uf:herp:10881,Cryptobranchus alleganiensis,FLMNH Division of Herpetology,Biological Specimen,iDigBio,5
uf:herp:123993,Siren intermedia,FLMNH Division of Herpetology,Biological Specimen,iDigBio,4
UF:Herp:190881,Necturus maculosus,FLMNH Division of Herpetology,Biological Specimen,iDigBio,2
usnm:amphibians & reptiles:546898,Eurycea multiplicata,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:256838,Desmognathus wrighti,NMNH Extant Specimen Records,Biological Specimen,User Created,0
uf:herp:158468,Pseudotriton ruber,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
mvz:amphibian and reptile specimens:mvz:herp:218096,Plethodon dunni,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:545726,Hydromantes platycephalus,NMNH Extant Specimen Records,Biological Specimen,iDigBio,0
mvz:amphibian and reptile specimens:mvz:herp:203739,Nototriton picadoi,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,3
mvz:amphibian and reptile specimens:58374,Desmognathus quadramaculatus,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,User Created,1
nhmuk:zoo:1957.1.5.93,Dicamptodon ensatus,Natural History Museum (London) Collection Specimens,Biological Specimen,iDigBio,2
mvz:amphibian and reptile specimens:mvz:herp:264033,Aneides flavipunctatus,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,2
uf:herp:96340,Bolitoglossa mexicana,FLMNH Division of Herpetology,Biological Specimen,iDigBio,0
mvz:amphibian and reptile specimens:mvz:herp:52959,Aneides aeneus,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:339700,Nototriton barbouri,NMNH Extant Specimen Records,Biological Specimen,iDigBio,0
ypm:vz:ypm hera 020155,Oedipina complex,"Vertebrate Zoology Division - Herpetology, Yale Peabody Museum",Biological Specimen,iDigBio,2
uf:herp:156938,Desmognathus auriculatus,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
